rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,1,1,1,1,1,0.006256819,0.001721144,22.75488281,100,99.40409281,100,99.88081856,
2,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,1,1,1,1,1,0.089584589,0.007063389,16.125,100,98.71618914,100,99.74323783,
3,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,1,1,1,1,1,0.023442507,0.002749205,15.94921875,100,99.37540831,85,97.62508166,
4,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.986666667,0.986661331,0.986661331,0.987179487,0.986666667,0.038849831,0.004943609,49.50097656,98.66626651,98.48026493,85,96.71249956,
5,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.946666667,0.946546431,0.946546431,0.95014245,0.946666667,0.009566307,0.001884937,97.33691406,94.65764898,97.88276764,85,94.38826047,
6,count_basic,CountVectorizer Basic,count,low,gradient_boosting,Gradient Boosting Trees,boosting,high,count_basic__gradient_boosting,completed,1,1,1,1,1,0.648823261,0.004868746,290.3007813,100,90.00892006,70,93.50178401,
7,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,gradient_boosting,Gradient Boosting Trees,boosting,high,tfidf_word_1_2__gradient_boosting,completed,1,1,1,1,1,2.296701431,0.007471561,358.9453125,100,78.59259148,70,91.2185183,
8,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char_3_5__random_forest_small,completed,1,1,1,1,1,0.283503532,0.033620358,326.9345703,100,89.74306595,55,91.19861319,
9,count_basic,CountVectorizer Basic,count,low,random_forest_small,Small Random Forest,tree_based,high,count_basic__random_forest_small,completed,0.88,0.882421401,0.882421401,0.911764706,0.88,0.100330591,0.005711079,162.5458984,88.18160509,95.80443377,70,88.16076955,
10,word2vec_avg,Word2Vec Average,embedding_static,medium,random_forest_small,Small Random Forest,tree_based,high,word2vec_avg__random_forest_small,completed,0.946666667,0.946522146,0.946522146,0.950952381,0.946666667,0.355796814,0.0094347,1126.655273,94.65582765,74.76603165,55,85.26391153,
11,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_word_1_2__random_forest_small,completed,0.826666667,0.825358708,0.825358708,0.850793651,0.826666667,0.106150389,0.008002996,186.1376953,82.56856979,95.16016397,70,84.94474618,
12,bert_base,BERT Base Embeddings,embedding,high,logreg_balanced,Logistic Regression Balanced,linear,low,bert_base__logreg_balanced,completed,0.973333333,0.973039216,0.973039216,0.974358974,0.973333333,37.79498315,23.44386864,428644.7041,97.31127451,0,70,74.02120098,
13,sentence_minilm,Sentence Transformer MiniLM,embedding_contextual,high,sgd_log,SGDClassifier Logistic Loss,linear,medium,sentence_minilm__sgd_log,completed,0.986666667,0.986661331,0.986661331,0.987179487,0.986666667,13.01991105,1.582065105,89634.71973,98.66626651,0,55,72.51644658,
