rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.16429352760314941,0.006683826446533203,16.5,64.78475935828878,98.28320924758911,100,80.28825949657666,
2,count_basic,CountVectorizer Basic,count,low,random_forest_small,Small Random Forest,tree_based,high,count_basic__random_forest_small,completed,0.75,0.7270955165692007,0.7134502923976609,0.8611111111111112,0.7619047619047619,0.27512145042419434,0.01680445671081543,161.2646484375,73.07748538011695,94.11571092605591,70,79.5157591442755,
3,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_word_1_2__random_forest_small,completed,0.75,0.715099715099715,0.7047008547008546,0.8311688311688311,0.7619047619047619,0.5231747627258301,0.014498710632324219,160.3720703125,72.22649572649573,92.78358737945557,70,78.78129012546377,
4,count_basic,CountVectorizer Basic,count,low,gradient_boosting,Gradient Boosting Trees,boosting,high,count_basic__gradient_boosting,completed,0.75,0.750445632798574,0.7379679144385027,0.7833333333333333,0.7619047619047619,1.5055265426635742,0.007496356964111328,259.81640625,74.84625668449198,85.32073120117187,70,78.72958741670496,
5,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.013211965560913086,0.002505779266357422,97.2744140625,62.308479532163744,97.82489316940308,85,76.58464237657068,
6,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.016673803329467773,0.0036504268646240234,23.3486328125,57.51832579185521,99.21395891189576,100,76.47787096789952,
7,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.024037599563598633,0.00563359260559082,16.33984375,60.48232323232323,99.19096197128296,85,75.85347017203438,
8,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.08809685707092285,0.00603032112121582,49.3603515625,60.541666666666664,98.12239255905152,85,75.67239517847698,
9,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char_3_5__random_forest_small,completed,0.7,0.7083333333333334,0.69375,0.7185185185185184,0.7142857142857143,0.5750763416290283,0.03872108459472656,305.0283203125,70.40625,88.12571046829224,55,74.59857959365846,
10,hashing_word,HashingVectorizer Word,hashing,medium,gradient_boosting,Gradient Boosting Trees,boosting,high,hashing_word__gradient_boosting,completed,0.7,0.7083333333333334,0.69375,0.7185185185185187,0.7142857142857143,1.138660192489624,0.003643512725830078,262.283203125,70.40625,87.70376401901245,55,74.5141903038025,
